(без) пр..крас: прикрас
(в) пре..вкушении: предвкушении
(высокий) бар..ер: барьер
(достойный) пр..емник: преемник
(кран) по..текает: подтекает
(молодой) пр..емник: преемник
(начал) с..знова: сызнова
(негде) пр..моститься: примоститься
(нежданная) гост..я: гостья
(помнить о делах) пр..отцов: праотцов
(пьеса) с..грана: сыграна
(ржавчина) раз..ела: разъела
(совершить серьёзный) пр..ступок: проступок
(старинное) пр..дание: предание
(тригонометрическое) пр..образование: преобразование
(что-то) пр..виделось: привиделось
..бить (с ног): сбить
..брошенный (с балкона): сброшенный
..дание: здание
..даюсь: сдаюсь
..двинуть: сдвинуть
..делка: сделка
..десь: здесь
..твергнуть: отвергнуть
..тпраздновать.: отпраздновать.
o..дача: oтдача
ад..ютант: адъютант
ал..тернатива: альтернатива
ал..янс: альянс
ант..военный: антивоенный
ант..санитария: антисанитария
ант..художественный: антихудожественный
ар..ергард: арьергард
арх..важный: архиважный
арх..консервативный: архиконсервативный
б..ют (по щеке): бьют
б..ются: бьются
б..ющийся: бьющийся
б..ёт: бьёт
бар..ерный: барьерный
бе..болезненный: безболезненный
бе..вестный: безвестный
бе..вкусный: безвкусный
бе..вольный: безвольный
бе..голосый: безголосый
бе..грамотный: безграмотный
бе..граничный: безграничный
бе..донный: бездонный
бе..дорожье: бездорожье
бе..дрожжевой: бездрожжевой
бе..жалостность: безжалостность
бе..жалостный: безжалостный
бе..жизненный: безжизненный
бе..заботно: беззаботно
бе..кислородный: бескислородный
бе..компромиссный: бескомпромиссный
бе..конечный: бесконечный
бе..корыстный: бескорыстный
бе..костный: бескостный
бе..крайний: бескрайний
бе..культурье: бескультурье
бе..полезный: бесполезный
бе..предел: беспредел
бе..престанно: беспрестанно
бе..принципный: беспринципный
бе..причинный: беспричинный
бе..пробудный: беспробудный
бе..проводной: беспроводной
бе..проглядный: беспроглядный
бе..связный (ответ): бессвязный
бе..системность: бессистемность
бе..совестный: бессовестный
бе..срочный: бессрочный
бе..счётный: бессчётный
бе..тактный: бестактный
бе..характерный: бесхарактерный
бе..хозный: бесхозный
бе..цельный: бесцельный
бе..церемонный: бесцеремонный
бе..человечно: бесчеловечно
бе..человечный : бесчеловечный
бе..человечный: бесчеловечный
бе..честный: бесчестный
бе..численный: бесчисленный
бе..чувственный: бесчувственный
бе..шумный: бесшумный
без пр..крас: без прикрас
без..говорочный: безоговорочный
без..гольный: безыгольный
без..дейный: безыдейный
без..мянные (герои): безымянные
без..мянный: безымянный
без..нвентарный: безынвентарный
без..ндукционный: безындукционный
без..нерционный (прибор): безынерционный
без..нерционный: безынерционный
без..нициативный: безынициативный
без..нтересный: безынтересный
без..скусный: безыскусный
без..сходность: безысходность
без..сходный: безысходный
без..тказный: безотказный
без..ядерный: безъядерный
без..языкий: безъязыкий
безн..дзорный: безнадзорный
беспр..дел: беспредел
беспр..зорник: беспризорник
беспр..кословно: беспрекословно
беспр..кословный: беспрекословный
беспр..мерный: беспримерный
беспр..станно: беспрестанно
беспр..станный: беспрестанный
беспр..страстный: беспристрастный
бил..ярд: бильярд
в..балтывать: взбалтывать
в..дохнуть: вздохнуть
в..драгивать: вздрагивать
в..дремнуть: вздремнуть
в..дрогнуть: вздрогнуть
в..едливый: въедливый
в..езд (во двор): въезд
в..езд: въезд
в..езжает (в город): въезжает
в..елся.: въелся.
в..елся: въелся
в..етнам: вьетнам
в..ехал: въехал
в..карабкаться: вскарабкаться
в..крыть (упаковку): вскрыть
в..плеснуть (руками): всплеснуть
в..пыхнуть: вспыхнуть
в..скликнул: воскликнул
в..скликнуть: воскликнуть
в..спитание: воспитание
в..ткнуть: воткнуть
в..тревожиться: встревожиться
в..трепенуться: встрепенуться
в..ходы: всходы
в..юга: вьюга
в..юн: вьюн
в..юнок: вьюнок
в..явь: въявь
в..ётся: вьётся
валер..яна: валерьяна
вд..гонку: вдогонку
вз..браться (наверх): взобраться
вз..браться: взобраться
вз..грать: взыграть
вз..ерошенный: взъерошенный
вз..ерошить: взъерошить
вз..мание (платы): взимание
вз..мать (плату): взимать
вз..мать: взимать
вз..скание: взыскание
вз..сканный (налог): взысканный
вз..скательный: взыскательный
вз..скать: взыскать
вн..брачный: внебрачный
во..горание: возгорание
во..двигнуть: воздвигнуть
во..звание: воззвание
во..звать: воззвать
во..местить: возместить
во..пламенеть: воспламенеть
во..пламениться: воспламениться
во..препятствовать: воспрепятствовать
во..росший: возросший
во..стать: восстать
во..стину: воистину
во..требованность: востребованность
во..хвалял: восхвалял
во..хвалять: восхвалять
во..хваляющий: восхваляющий
во..ходящий: восходящий
во..хождение: восхождение
воб..ю (гвоздь): вобью
воб..ёшь (сваю): вобьёшь
воз..меть: возыметь
волеиз..явление: волеизъявление
всеоб..емлющий: всеобъемлющий
вы..грать: выиграть
выб..ешься (из сил): выбьешься
гнездов..е: гнездовье
гостепр..имный: гостеприимный
грузопод..ёмность: грузоподъёмность
д..бела: добела
д..браться.: добраться.
д..гнать: догнать
д..ехать: доехать
д..жевал (хлеб): дожевал
д..жевал: дожевал
д..зинфекция: дезинфекция
д..йти: дойти
д..красна: докрасна
д..лепить: долепить
д..сквалификация: дисквалификация
д..сфункция: дисфункция
д..темна: дотемна
д..ход: доход
д..ячок: дьячок
двух..гольный: двухигольный
двух..гольчатый: двухигольчатый
двух..мпульсный: двухимпульсный
двух..этажный: двухэтажный
двух..ядерный: двухъядерный
двух..якорный: двухъякорный
двух..ярусный.: двухъярусный.
двух..ярусный: двухъярусный
дез..нфектор: дезинфектор
дез..нфекция: дезинфекция
дез..нфицировать: дезинфицировать
дез..нформация: дезинформация
дез..нформированы: дезинформированы
ди..кредитация: дискредитация
доб..ётся: добьётся
з..брошенный: заброшенный
з..ведующий: заведующий
з..гляденье: загляденье
з..головок: заголовок
з..копчённый: закопчённый
з..ночевать: заночевать
з..облачный: заоблачный
з..остриться: заостриться
з..подозрить: заподозрить
з..страховать (имущество): застраховать
з..чинщик: зачинщик
за..граться: заиграться
за..нтересованный: заинтересованный
за..нтересовать: заинтересовать
за..скивающий: заискивающий
за..скрить: заискрить
зав..южило: завьюжило
зав..южить: завьюжить
зан..вешенный: занавешенный
запр..кинуть: запрокинуть
и..бежавший: избежавший
и..бежать: избежать
и..брал: избрал
и..брать: избрать
и..быточный: избыточный
и..вестить: известить
и..возчик: извозчик
и..гнать: изгнать
и..гонять: изгонять
и..древле: издревле
и..жаленный (крапивой): изжаленный
и..желта-красный: изжелта-красный
и..коверкать: исковеркать
и..колесить: исколесить
и..колоть (пальцы): исколоть
и..коренить: искоренить
и..менить: изменить
и..пепелить: испепелить
и..писать (лист): исписать
и..подволь: исподволь
и..подлобья: исподлобья
и..подтишка: исподтишка
и..пуганный: испуганный
и..пытывать: испытывать
и..синя-чёрный: иссиня-чёрный
и..стари (повелось): исстари
и..сяк: иссяк
и..сякнуть: иссякнуть
и..тлеть: истлеть
и..худавший (от голода): исхудавший
и..худавший: исхудавший
и..царапать: исцарапать
и..чезнуть: исчезнуть
и..черпать: исчерпать
и..черченный: исчерченный
из..бразить: изобразить
из..брести: изобрести
из..мать: изымать
из..скать (возможности): изыскать
из..скать: изыскать
из..ян: изъян
из..яны: изъяны
из..ять: изъять
ин..екция: инъекция
интер..ер: интерьер
интерв..юер: интервьюер
испо..тишка: исподтишка
камень пр..ткновения: камень преткновения
кар..ера: карьера
кинос..ёмка: киносъёмка
кол..е (с бриллиантами): колье
компан..он: компаньон
кон..юнктура: конъюнктура
контр..гра: контригра
контр..ск: контриск
коп..ё: копьё
кур..ёз: курьёз
л..ёт: льёт
макрос..ёмка: макросъёмка
мед..нститут: мединститут
меж..гровая (тренировка): межигровая
меж..гровой: межигровой
меж..здательский: межиздательский
меж..нститутский: межинститутский
меж..нтернатский: межинтернатский
меж..языковой.: межъязыковой.
меж..языковой: межъязыковой
меж..ярусный: межъярусный
многооб..ектный: многообъектный
н..вьючить: навьючить
н..дломить: надломить
н..дооценивать: недооценивать
н..дорвать: надорвать
н..дстройка: надстройка
н..илучший: наилучший
н..испособнейший: наиспособнейший
н..ладил: наладил
н..право: направо
н..слаждаться: наслаждаться
н..слаждение: наслаждение
на..бровный: надбровный
на..земный: надземный
на..кусил: надкусил
на..кусить: надкусить
на..кусывать: надкусывать
на..пилить: надпилить
на..писать: надписать
на..пись (на книге): надпись
на..пись: надпись
на..смотрщик.: надсмотрщик.
на..смотрщик: надсмотрщик
на..строчный: надстрочный
на..треснутая (чашка): надтреснутая
на..треснутый (голос): надтреснутый
на..треснутый: надтреснутый
нав..ючивать: навьючивать
над..рвался: надорвался
над..рваться: надорваться
нао..рез: наотрез
нап..следок: напоследок
нар..спашку: нараспашку
не..балансированное (питание): несбалансированное
не..балансированный: несбалансированный
не..битая (мишень): несбитая
не..бозримый: необозримый
не..бритые (волосы): несбритые
не..быточный: несбыточный
не..гибаемый (характер): несгибаемый
не..гибаемый: несгибаемый
не..глядный (простор): неоглядный
не..глядный: неоглядный
не..говорчивый: несговорчивый
не..гораемый: несгораемый
не..горевший: несгоревший
не..деланный: несделанный
не..держанное (слово): несдержанное
не..держанность: несдержанность
не..держанный: несдержанный
не..добровать: несдобровать
не..доровится: нездоровится
не..жатый: несжатый
не..писуемый: неописуемый
не..тснятый (кадр): неотснятый
не..хватный: неохватный
не..хваченный (переписью): неохваченный
неб..ющийся: небьющийся
небез..нтересный: небезынтересный
нед..варить: недоварить
нед..верчивый: недоверчивый
нед..выполнить: недовыполнить
нед..жарили: недожарили
нед..смотреть: недосмотреть
нез..вершённая (работа): незавершённая
нез..менимый: незаменимый
нез..мысловатый: незамысловатый
нен..глядный: ненаглядный
необ..ятный: необъятный
неот..емлемый: неотъемлемый
неп..ддающийся: неподдающийся
неп..ладки: неполадки
неп..правимый: непоправимый
непр..будный: непробудный
непр..будным (сном): непробудным
непр..взойдённый (образец): непревзойдённый
непр..взойдённый: непревзойдённый
непр..глядный (на вид): неприглядный
непр..годный: непригодный
непр..емлемый: неприемлемый
непр..ложная (истина): непреложная
непр..ложный: непреложный
непр..миримый: непримиримый
непр..нуждённый: непринуждённый
непр..одолимый: непреодолимый
непр..рывный: непрерывный
непр..ступная (крепость): неприступная
непр..ступные (скалы): неприступные
непр..стёганное (одеяло): непростёганное
непр..ходящие (ценности): непреходящие
непр..хотливый: неприхотливый
непре..сказуемый: непредсказуемый
нер..сположение: нерасположение
нер..ссказанный: нерассказанный
нер..створимый: нерастворимый
нера..чётливый: нерасчётливый
ни..вергать: низвергать
ни..вергнуть: низвергнуть
ни..послать: ниспослать
ни..провергнуть: ниспровергнуть
ни..ходящий: нисходящий
о..бивать (мяч): отбивать
о..бить (атаку): отбить
о..биться (от рук): отбиться
о..блеск: отблеск
о..бойный (молоток): отбойный
о..брасывать: отбрасывать
о..брасывая (тень): отбрасывая
о..бросить: отбросить
о..быть (по назначению): отбыть
о..вёртка.: отвёртка.
о..гадать: отгадать
о..глагольный: отглагольный
о..говорка: отговорка
о..дать: отдать
о..дача: отдача
о..дохнуть: отдохнуть
о..душина: отдушина
о..жать: отжать
о..крутить: открутить
о..крыть: открыть
о..пилить: отпилить
о..стать: отстать
о..тепель: оттепель
о..цвести: отцвести
об..гравший: обыгравший
об..гранный: обыгранный
об..грать: обыграть
об..греться: обогреться
об..едки: объедки
об..езд: объезд
